kanji,先生,私,友達,大学 ,学生,年生,学,一,二,三,四,五,六,七,八,九,十
readings,せんせい,わたし,ともだち,だいがく,がくせい,ねんせい,がく、まな,イチ、ひと,二、ふた,サン、み,シ、よん,ゴ、いつ,ロク、む,シチ、なな,ハチ、や,キュウ、ここの,ジュウ、とお
meanigs,teacher,"I, me",friend,university,student,year in highschool,learning,１,２,3,４,５,６,７,８,９,１０
