word,女,男,かっこいい,かわいい,一人,綺麗 ,好き,安い,高い,遅い,早い,美味しい,不味い,明るい,小さい,古い,新しい,狭い,眠い,広い,大きい,暗い
readings,おんな,おとこ,,,ひとり,きれい,すき,やすい,たかい,おそい,はやい,おいしい,まずい,あかるい,ちいさい,ふるい,あたらしい,せまい,ねむい,ひろい,おおきい,くらい
meanings,female,male,cool,cute,alone,pretty,liked,cheap,expensive,slow,quick,delicious,"awful, bad taste",bright,small,old,new,"narrow, small",tired,spacious,big,dark
