word,家族 ,お父さん,お母さん,弟さん,兄さん,姉さん,妹さん,夫,妻,お子さん,父,母,叔母さん,叔父さん,お祖父さん,お祖母さん
readings,かぞく,おとうさん,おかあさん,おとうとさん,あにさん,あねさん,いもうとさん,おっと,つま,おこさん,ちち,はは,おばさん,おじさん,おじいさん,おばあさん
meanings,family,father,mother,little brother,big brother,big sister,little sister,husband,wife,child,dad,mom,aunt,uncle,grandfather,grandmother
