word,食べ物,飲み物,ご飯,水,パン,肉,魚,牛乳,卵,果物,お茶,料理,食事,野菜,汁
readings,たべもの,のみもの,ごはん,みず,,にく,さかな,ぎゅうにゅう,たまご,くだもの,おちゃ,りょうり,しょくじ,やさい,しる
meanings,food,beverage,"cooked rice, meal",water,bread,meat,fisch,milk,egg,fruit,(green) tea,"cooking, cuisine",meal,vegetable,soup
